class,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24
idle,0.611936092376709,0.6952047944068909,-0.4250883162021637,0.9970712661743164,0.3488183915615082,0.6670555472373962,0.21837028861045837,0.9979149699211121,0.5119364261627197,0.998138427734375,-0.7478626370429993,0.9117478132247925,0.19710701704025269,0.9340497255325317,0.3271527588367462,0.4545017182826996,0.44873708486557007,0.5932257771492004,-0.853768527507782,0.9958406090736389,0.03381994366645813,1.0078814029693604,0.0547466054558754,0.7348355054855347,0.42083048820495605,0.479120671749115,-0.9193350672721863,0.9926324486732483,-0.023955583572387695,1.0517206192016602,0.03446057811379433,0.7753915190696716,0.4421909749507904,0.42082905769348145,-0.8692110180854797,0.9936829805374146,-0.0022764205932617188,1.0379314422607422,-0.027349349111318588,0.8554325699806213,0.4526439607143402,0.4862653613090515,-0.841256320476532,0.9921374917030334,0.02462446689605713,1.0306545495986938,0.006783155258744955,0.8669688701629639,0.5636518597602844,1.4416306018829346,-0.16865721344947815,0.005623917561024427,0.3766166865825653,1.4121849536895752,0.17261101305484772,0.008163689635694027
idle,0.6150134801864624,0.7023954391479492,-0.3956100344657898,0.9958218336105347,0.35083919763565063,0.6655538082122803,0.11335261166095734,0.9979392886161804,0.5120132565498352,0.99299156665802,-0.6807774305343628,0.8575624823570251,0.19588355720043182,0.935078501701355,0.04110364988446236,0.4336859881877899,0.4188852906227112,0.6464582085609436,-0.8118569254875183,0.9731296300888062,0.03028375282883644,1.0627492666244507,-0.3747944235801697,0.702929675579071,0.38619229197502136,0.5675323605537415,-0.8853697776794434,0.9759352803230286,-0.030009662732481956,1.1339949369430542,-0.4268966615200043,0.7496247291564941,0.3986234664916992,0.5384308099746704,-0.8538625836372375,0.9816984534263611,-0.0030231610871851444,1.110838532447815,-0.4912511706352234,0.83417147397995,0.41209572553634644,0.5774468779563904,-0.8055130839347839,0.9754737019538879,0.024290159344673157,1.0928958654403687,-0.4232369363307953,0.8452522158622742,0.5644478797912598,1.4523653984069824,-0.15174144506454468,0.005898021627217531,0.3804453909397125,1.4190397262573242,0.1546543389558792,0.009051433764398098
idle,0.6150878071784973,0.6967653036117554,-0.3508581519126892,0.9953905344009399,0.3518264889717102,0.6644126176834106,0.14775504171848297,0.9980456829071045,0.5120552778244019,0.9863477945327759,-0.6516778469085693,0.8185040950775146,0.19655254483222961,0.9354782104492188,0.08320347219705582,0.41112956404685974,0.38560259342193604,0.6839526891708374,-0.8139427900314331,0.9553117156028748,0.03622445464134216,1.080329179763794,-0.38414013385772705,0.6736078262329102,0.3525511920452118,0.609995424747467,-0.8906548619270325,0.9637415409088135,-0.023813465610146523,1.153136134147644,-0.45179057121276855,0.7294615507125854,0.3585365116596222,0.5907442569732666,-0.8628231883049011,0.9730998873710632,0.003303059609606862,1.1240791082382202,-0.5187657475471497,0.8172465562820435,0.3742065727710724,0.6131317615509033,-0.8096601366996765,0.9631945490837097,0.03148816153407097,1.1042237281799316,-0.4356342852115631,0.8272720575332642,0.5624740719795227,1.45225191116333,-0.15420955419540405,0.007113802246749401,0.3810989558696747,1.416627049446106,0.1562090963125229,0.012403653934597969
idle,0.6145758032798767,0.6922130584716797,-0.335838258266449,0.9951843023300171,0.35176271200180054,0.6626072525978088,0.1400373876094818,0.998185932636261,0.5163622498512268,0.9812977910041809,-0.6328562498092651,0.7930355668067932,0.19672128558158875,0.9355756044387817,0.02805366739630699,0.4095926880836487,0.37703007459640503,0.7024922370910645,-0.8079327344894409,0.9379817843437195,0.036201298236846924,1.0853108167648315,-0.4533576965332031,0.66754150390625,0.3414026200771332,0.6273767948150635,-0.8864885568618774,0.9502520561218262,-0.02434721030294895,1.1564185619354248,-0.5257806181907654,0.7261859178543091,0.34229379892349243,0.613209068775177,-0.8629142642021179,0.9630967974662781,0.002397454809397459,1.1278512477874756,-0.5903986692428589,0.8135242462158203,0.361381858587265,0.631534993648529,-0.8063499331474304,0.9500399827957153,0.03130418062210083,1.1089271306991577,-0.5028073787689209,0.8220558166503906,0.5578494071960449,1.4504752159118652,-0.1550423800945282,0.009704639203846455,0.3837376534938812,1.4058079719543457,0.15710684657096863,0.01978575624525547
idle,0.614555299282074,0.6889705061912537,-0.3531007170677185,0.9949702024459839,0.34859156608581543,0.6635953783988953,0.11624379456043243,0.998219907283783,0.5422031879425049,0.9822332859039307,-0.7445893883705139,0.7989398241043091,0.1966906189918518,0.9374921917915344,0.055801235139369965,0.40422749519348145,0.37010806798934937,0.6926859021186829,-1.0570385456085205,0.9391493797302246,0.04311300441622734,1.0733468532562256,-0.37945616245269775,0.6458595991134644,0.32383543252944946,0.6173087358474731,-1.1549077033996582,0.9499923586845398,-0.022223349660634995,1.153834581375122,-0.45306268334388733,0.7071746587753296,0.32549551129341125,0.6045379042625427,-1.1132605075836182,0.9628016948699951,0.0022497002501040697,1.1149569749832153,-0.5173733234405518,0.7962876558303833,0.3429138660430908,0.6274190545082092,-1.0489413738250732,0.9488322138786316,0.03696359694004059,1.0651423931121826,-0.42942818999290466,0.8044323921203613,0.558127224445343,1.4538129568099976,-0.14762654900550842,0.01089493464678526,0.38368186354637146,1.4163416624069214,0.14949695765972137,0.02229185961186886
idle,0.6145085096359253,0.6776189804077148,-0.33045464754104614,0.995128333568573,0.3451436460018158,0.6739093065261841,0.1520049273967743,0.9982595443725586,0.554086446762085,0.9766301512718201,-0.7389368414878845,0.8013330698013306,0.19476959109306335,0.9390024542808533,0.06797884404659271,0.3910215497016907,0.3552458882331848,0.6998375654220581,-1.0221179723739624,0.9383831024169922,0.04406321421265602,1.067793369293213,-0.4265274107456207,0.6176355481147766,0.30538681149482727,0.6518426537513733,-1.1234817504882812,0.9484454393386841,-0.020859617739915848,1.1528059244155884,-0.5115882158279419,0.6843199729919434,0.30844205617904663,0.6290675401687622,-1.0856877565383911,0.9616020321846008,0.003431493416428566,1.118713140487671,-0.5732218623161316,0.7748355865478516,0.3243427574634552,0.6512722969055176,-1.014570713043213,0.9464312791824341,0.0378534160554409,1.0586445331573486,-0.4770773947238922,0.7831665873527527,0.5599398016929626,1.451018214225769,-0.1664358377456665,0.013787059113383293,0.3885820508003235,1.4157886505126953,0.1678800880908966,0.02973778545856476
idle,0.6119517683982849,0.6705220341682434,-0.3413999676704407,0.9953953623771667,0.3449963927268982,0.6877621412277222,0.2240954339504242,0.9982156753540039,0.5658811330795288,0.9709970355033875,-0.7575726509094238,0.8102173209190369,0.19459232687950134,0.9379801154136658,0.09115297347307205,0.3738192617893219,0.3482368588447571,0.7050260305404663,-1.024292230606079,0.9406023025512695,0.04633355885744095,1.0730698108673096,-0.466898113489151,0.5873133540153503,0.2966929078102112,0.6693306565284729,-1.1261228322982788,0.9494103193283081,-0.012770824134349823,1.1511982679367065,-0.5635159015655518,0.6595237255096436,0.29616764187812805,0.6465663313865662,-1.0854648351669312,0.9622573852539062,0.01693720370531082,1.1161046028137207,-0.6135578751564026,0.7513856887817383,0.31336915493011475,0.6586679816246033,-1.013610601425171,0.9468185305595398,0.04776408523321152,1.0452404022216797,-0.5159820318222046,0.7611021399497986,0.5611327290534973,1.4511024951934814,-0.19912496209144592,0.01803823560476303,0.3883119523525238,1.4187653064727783,0.20095685124397278,0.04072918742895126
idle,0.6102321147918701,0.6618363261222839,-0.3480672836303711,0.9956855773925781,0.34503883123397827,0.7104711532592773,0.26862430572509766,0.9975861310958862,0.5931367874145508,0.9763150811195374,-0.7641527652740479,0.8218098282814026,0.19458815455436707,0.9407339096069336,0.10099818557500839,0.35047397017478943,0.3367934823036194,0.7365400791168213,-0.9935716390609741,0.9440059661865234,0.05662117153406143,1.0533910989761353,-0.5059074759483337,0.5553979277610779,0.28412964940071106,0.7143183350563049,-1.0854130983352661,0.9514449834823608,0.0006496026180684566,1.105560541152954,-0.6108405590057373,0.6295299530029297,0.28139397501945496,0.6772255897521973,-1.0440243482589722,0.9638118743896484,0.028314907103776932,1.0657150745391846,-0.6454305648803711,0.7220633029937744,0.29669874906539917,0.6881064772605896,-0.9797024726867676,0.9484421610832214,0.05619405582547188,1.0204565525054932,-0.5525660514831543,0.7335368990898132,0.568977415561676,1.4718430042266846,-0.21254806220531464,0.01817873679101467,0.3881594240665436,1.4487264156341553,0.21477332711219788,0.04125484451651573
idle,0.6099064946174622,0.6619617342948914,-0.328304260969162,0.9955330491065979,0.3206612467765808,0.7188695073127747,0.2567010223865509,0.9960445761680603,0.6251561641693115,0.9956654906272888,-0.76179039478302,0.8219695091247559,0.17010286450386047,0.9632315635681152,0.04492711275815964,0.33027973771095276,0.32653576135635376,0.8435407876968384,-1.019324779510498,0.9391629099845886,0.045065172016620636,1.0415923595428467,-0.5684812664985657,0.5192264914512634,0.26389721035957336,0.8330826759338379,-1.1167383193969727,0.94624263048172,-0.0010642013512551785,1.0792959928512573,-0.6795386075973511,0.5963223576545715,0.2552625834941864,0.7942617535591125,-1.0725395679473877,0.9601116180419922,0.027684707194566727,1.0273592472076416,-0.7042899131774902,0.6885805726051331,0.2768467962741852,0.8019572496414185,-1.0041182041168213,0.9426776170730591,0.04763887822628021,1.0104000568389893,-0.6092415452003479,0.6991235613822937,0.5600522756576538,1.4839833974838257,-0.22154323756694794,0.018543457612395287,0.37937551736831665,1.4528008699417114,0.22368279099464417,0.04268605634570122
idle,0.609918475151062,0.6626229882240295,-0.3063775300979614,0.9946358799934387,0.3198826313018799,0.7226055860519409,0.3288787603378296,0.9924139380455017,0.6021686792373657,1.0286518335342407,-0.6231227517127991,0.798911988735199,0.17295506596565247,1.0208348035812378,0.07423170655965805,0.30572429299354553,0.30659088492393494,0.9439080357551575,-0.7746289372444153,0.9189977645874023,0.08032093197107315,1.0117824077606201,-0.5488341450691223,0.4982996881008148,0.2269705981016159,0.9836524128913879,-0.8501875996589661,0.9302929639816284,0.0292829517275095,1.0329251289367676,-0.6505820155143738,0.5807767510414124,0.21939031779766083,0.8787540793418884,-0.8101218938827515,0.9494559168815613,0.051906317472457886,0.9766315221786499,-0.6651033759117126,0.6733794808387756,0.2424188107252121,0.8981330990791321,-0.7559794187545776,0.9281077980995178,0.08132138848304749,0.969978928565979,-0.5859044790267944,0.6823062896728516,0.5606317520141602,1.4919922351837158,-0.21614305675029755,0.0170808807015419,0.3722969889640808,1.4584579467773438,0.21866552531719208,0.039554789662361145
